,Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
482,ALLY,3.0575,7.6296,3.3308,0.0952,0.0542,0.9449
486,EVR,9.3212,7.7029,0.2555,0.4976,1.9066,1.9763
487,CMS,2.3188,21.309,2.4768,0.1382,1.1608,0.9405
489,RIO,10.0902,6.112,0.3186,0.3122,1.7244,1.9079
491,NMRK,0.6896,0.0001,2.661,0.1881,1.0208,1.0555
492,PDM,1.015,17.04,0.9852,0.0762,1.1347,1.6753
493,KMT,2.4523,14.5388,0.8303,0.1676,1.08,1.7441
495,HP,4.4305,15.9636,0.1127,0.1101,2.3624,2.9577
496,FLR,1.5983,20.125,0.5698,0.0759,0.9051,1.5316
497,JHG,2.637,7.9084,0.0659,0.1082,2.6698,2.772
498,FDX,17.1098,14.5855,0.8826,0.2355,1.2201,1.3858
499,EMN,7.712,9.5569,1.0629,0.1861,0.9233,1.8179
501,LNG,1.8335,30.8281,-54.135,-0.8954,2.1837,2.4305
502,WU,1.9239,9.0265,-10.6811,-2.7498,0.8778,0.8954
503,BAX,3.0518,21.6513,0.4461,0.2084,1.2849,2.0871
504,AOBC,0.3718,29.7297,0.4945,0.0477,1.0482,2.6853
505,CARS,0.566,39.0909,0.4254,0.0239,1.2138,1.3905
507,TEL,7.361,11.9959,0.3693,0.2368,0.7277,1.4057
508,MLM,7.4945,23.0389,0.6309,0.095,0.7222,1.736
509,GWW,13.8848,20.4313,1.1556,0.4071,1.2811,2.3698
510,PBF,1.0703,29.4324,0.7225,0.0479,0.6163,1.5165
512,GT,3.0385,6.9897,1.1848,0.1456,0.5921,1.2393
513,EA,3.4004,35.0206,0.2159,0.227,2.2947,2.4103
516,CMI,13.3345,10.1242,0.337,0.2914,0.8445,1.5379
517,CNQ,2.119,15.2934,0.645,0.081,0.3723,0.6342
518,HCA,11.0036,11.4174,-6.6305,-0.7651,0.9633,1.3493
519,INXN,0.4357,109.5691,2.0368,0.0491,0.5976,1.2579
520,VRTX,8.2052,20.1104,0.1311,0.4728,3.1937,3.4305
522,CNHI,0.7832,11.6582,1.0391,0.2118,1.269,1.6103
523,CNX,3.9122,3.0453,0.5539,0.184,0.5367,0.9593
524,INFO,1.3758,38.6739,0.7081,0.0676,0.3934,0.4738
525,YY,1.2998,16.1574,0.0004,0.1193,4.0735,4.2797
526,ES,3.2598,20.0123,1.2738,0.0899,0.3108,0.5573
527,ARMK,2.304,18.6234,2.3911,0.1874,0.8054,1.1652
530,APTV,4.0498,15.2401,1.2559,0.3085,0.827,1.2932
531,HOMB,1.7371,9.4451,0.4507,0.1278,0.055,0.0655
532,QD,7.6459,3.7908,0.395,0.2302,2.3444,2.8867
533,NSC,9.789,15.6096,0.7255,0.1735,0.5276,0.7186
534,NKTR,3.9363,8.1766,0.1438,0.3967,16.8113,17.5323
535,PSX,12.1334,7.2578,0.4527,0.227,1.0288,1.4783
536,CERN,1.9122,27.4555,0.09,0.1278,2.0348,2.4087
537,AKAM,1.832,34.3146,0.4889,0.0935,1.9592,2.0941
538,CS,0.7936,13.4723,3.8376,0.0461,0.4727,0.7763
539,PNW,4.5597,18.6842,0.9984,0.0978,0.2467,0.561
540,AMH,0.0792,248.125,0.5299,0.0206,0.911,1.5437
541,CDNS,1.2255,34.5079,0.3456,0.2684,1.1797,1.3415
542,FOE,0.9619,16.5053,2.1809,0.2127,1.3054,2.2953
543,A,0.9913,66.1122,0.3939,0.0692,2.5816,3.2861
544,MDRX,1.8038,4.657,0.4304,0.2345,0.8149,1.0768
545,MOS,1.2193,23.9426,0.4356,0.0452,0.6789,1.7059
546,CTB,1.5295,21.2697,0.2656,0.0653,1.1954,1.9159
548,SKX,1.9048,11.8601,0.0477,0.1479,1.7994,2.9076
549,HST,1.4648,11.3401,0.512,0.145,5.5051,5.5085
550,UE,0.9199,18.0652,1.7088,0.1162,25.874,26.3432
551,PHM,3.6389,7.3006,0.5891,0.2121,0.8263,6.2515
552,MT,5.0485,4.0769,0.2966,0.1223,0.2893,1.3846
553,ISBC,0.6948,14.4444,1.6408,0.0674,0.0104,0.015
555,WRE,0.321,71.875,1.1637,0.024,0.8566,1.9908
557,FL,2.3431,20.4619,0.0496,0.1127,1.3782,4.1412
558,NTAP,0.433,156.7442,0.8462,0.051,1.8233,1.9688
559,AGO,4.9306,8.093,0.1736,0.0795,0.4638,0.6339
560,BBBY,2.9833,7.1934,0.5165,0.1471,0.3344,1.8336
561,CCJ,0.4202,36.4834,0.2995,0.0333,1.734,2.3779
562,MAR,5.5902,19.9193,4.2009,0.8571,0.3805,0.4204
563,AXTA,0.8676,26.9195,3.2064,0.1719,1.4964,2.2195
567,LOGM,1.4536,56.6458,0.0672,0.025,0.4651,0.625
569,BB,0.7634,15.9737,0.3122,0.1617,6.1314,6.1922
570,CB,8.598,15.1088,0.2588,0.0787,0.1858,0.3792
571,PRU,9.8644,8.4595,0.3915,0.0838,0.407,0.6443
572,RUN,0.2383,45.375,2.2471,0.0281,0.9964,1.2397
574,PVG,0.2008,57.056,0.6913,0.0405,0.4812,0.6475
575,HA,4.7203,5.7041,0.7487,0.246,0.6089,0.7009
576,PBCT,1.2031,11.1,0.5594,0.0716,0.0233,0.0327
577,UCBI,2.0822,10.3671,0.4027,0.1132,0.0302,0.0391
580,CBSH,3.9965,14.8734,250.0599,0.1479,0.0851,0.0897
581,SC,2.5488,6.898,4.7828,0.1305,1.4889,19.3387
582,ANF,0.1042,198.3,0.2417,0.0057,1.4881,2.4915
583,HIG,5.0204,8.837,0.3618,0.1379,2.1828,2.3282
584,ITW,7.7245,16.5608,2.268,0.7876,1.1649,1.6313
585,AZN,1.619,44.6824,1.533,0.1644,0.7224,0.957
587,MTOR,1.3529,14.3657,2.8711,0.4077,0.6485,1.131
588,EVC,0.1369,20.7857,0.7319,0.0365,4.7969,5.0162
589,IRM,1.2695,24.7405,4.3754,0.1952,0.6791,0.8104
590,TSCO,4.3611,19.2258,0.2819,0.3409,0.092,1.9128
591,POST,6.8642,14.2678,2.3781,0.1532,1.8392,2.7778
592,EL,3.0188,47.4219,0.756,0.2363,1.2695,1.8634
593,ING,1.2252,7.6018,3.1985,0.0971,0.1548,0.2491
594,UBS,1.172,10.0267,3.2264,0.0853,0.4037,0.6667
596,VSH,2.3975,7.5356,0.3592,0.2501,1.803,2.7696
597,TER,2.5204,13.0207,0.2496,0.2968,3.0252,3.6375
600,RLGY,1.1595,13.3455,1.5353,0.0593,0.2515,0.5029
601,HPP,0.626,46.127,0.7964,0.028,1.9369,1.2576
603,JNPR,1.6425,16.6111,0.4435,0.1175,2.3412,2.4867
608,BANC,0.4671,29.5778,1.7916,0.0481,0.0444,0.0481
610,OMF,3.2917,7.383,3.8147,0.1177,46.9357,47.5439
611,LW,2.8503,22.8127,-7.1237,-1.2449,0.5427,1.7937
612,CTRE,0.6905,25.2877,0.6378,0.0754,1.4275,1.6844
613,NHI,3.6545,20.5272,0.9211,0.1111,1.7619,2.7697
615,FE,1.9181,18.8693,2.8623,0.1978,0.4186,0.5162
616,NOC,18.5981,13.1737,1.6957,0.3944,0.9733,1.1699
617,ASH,1.8262,46.2692,0.7425,0.0335,0.9247,1.5911
618,MCHP,1.0899,79.6636,0.9355,0.0779,1.3682,1.6637
619,KLIC,0.8387,29.4146,0.0173,0.0644,4.9261,5.6715
620,O,1.2321,50.0317,0.8129,0.045,0.5317,0.6759
622,TPH,1.8981,6.0055,0.5003,0.1312,0.4321,4.6942
623,FLO,0.7452,24.9595,0.796,0.1249,0.7813,1.3582
625,SHO,1.041,12.3905,0.377,0.094,3.851,3.9036
627,COF,12.0551,6.3521,0.9581,0.1164,0.0476,0.061
629,FLT,9.1539,20.3195,1.4428,0.2429,0.8179,0.8622
631,HIMX,0.0249,85.75,0.4234,0.0192,0.7918,1.673
633,FANG,8.3517,11.4586,0.3269,0.0617,0.8224,0.9078
635,ARLP,2.8042,6.3285,0.6033,0.3101,1.2677,1.5132
636,RXN,0.5068,56.8824,1.1182,0.0626,1.1182,2.1966
637,OSK,6.4553,11.1442,0.3254,0.1877,1.1693,1.9347
638,DHR,3.7821,27.2804,0.3452,0.094,0.8835,1.4652
639,BLMN,1.1654,15.4224,23.94,2.342,0.0908,0.4241
640,AMN,3.0243,18.9498,0.6895,0.2218,1.5921,1.5692
641,PPC,0.9958,15.51,1.1571,0.1234,0.7132,1.724
643,RCL,8.6654,11.3709,0.9705,0.1631,0.0861,0.1746
644,INTU,5.1795,39.4286,0.1555,0.4719,1.0407,1.3896
646,PCAR,6.2819,9.1424,1.158,0.2555,4.4621,1.9242
647,IR,5.445,16.8632,0.5826,0.1905,0.8301,1.3282
648,PEG,2.845,18.2632,1.0766,0.1,0.3753,0.7106
649,FBP,0.9157,9.3478,0.4764,0.0973,0.0679,0.0889
650,WEC,3.3573,20.6131,1.2054,0.1083,0.4098,0.6746
651,MDC,3.4473,8.1172,0.6364,0.1337,1.395,7.168
653,YUMC,1.8677,18.2228,0.0087,0.2464,1.1716,1.5579
654,HMSY,0.6554,42.6212,0.3364,0.0771,3.9919,4.4016
656,ALV,2.1849,32.0685,1.1837,0.1011,0.7967,1.1465
657,BHP,1.1536,69.7845,0.5043,0.0666,1.383,2.5113
658,BXP,3.7059,30.3369,1.8677,0.0991,1.5175,3.4671
659,BYD,1.0253,20.5743,3.4731,0.1004,0.698,0.8511
660,WGO,3.2464,11.8673,0.5453,0.1915,0.8175,1.8216
661,KSU,6.1673,15.4951,0.5588,0.1304,0.8987,1.4215
662,PUMP,2.0805,5.9231,0.0878,0.218,0.9515,0.9901
663,XLNX,1.8209,37.1183,0.726,0.1966,4.1996,4.5557
664,NOG,0.3726,3.7049,1.9736,0.3343,0.9268,0.9866
665,GLOG,0.5907,35.0213,3.4494,0.0542,0.6293,0.6556
667,JBHT,4.4844,20.7679,0.5468,0.233,0.7833,1.1114
668,FBHS,2.7552,14.1227,1.0715,0.1789,0.5593,1.13
669,TXT,5.0296,9.4242,0.7288,0.2354,0.8246,1.8865
672,EXPE,2.7253,41.5683,0.9057,0.0989,0.6056,0.6448
673,TVPT,0.5762,26.931,-13.216,-0.4262,0.6715,3.7996
674,WERN,2.3618,12.5702,0.0988,0.1329,1.2837,1.4714
676,ED,4.4378,17.2596,1.2383,0.0826,0.4949,0.6225
677,HCSG,1.1318,35.5575,0.0681,0.1895,2.7188,3.1099
679,DLTR,7.2304,14.5359,0.7906,0.2387,0.384,1.6006
680,GNC,0.8319,2.8554,-10.0807,-0.6104,0.4548,1.8802
681,OUT,0.7737,23.8421,2.0943,0.0978,0.7923,1.0668
685,STOR,1.0194,26.7075,0.7571,0.0562,0.1447,1.3912
686,BGCP,0.5985,8.6167,0.9836,0.2571,1.1988,1.3265
687,ABB,1.0161,18.6373,0.6177,0.1557,0.5715,1.1853
688,GTE,0.2622,8.3462,0.3879,0.0997,0.6566,1.1957
690,CP,13.6815,17.5668,1.3104,0.294,0.4481,0.5714
691,PNR,2.0011,19.0808,0.429,0.1892,0.6871,1.2696
692,PKI,2.1389,36.5349,0.7317,0.092,1.0313,1.6
693,IIVI,1.407,30.0355,0.4286,0.0859,1.9541,3.2217
695,ASB,1.947,10.3073,0.9847,0.0947,0.0393,0.0379
696,UHS,8.4281,13.9593,0.742,0.1447,1.1149,1.3376
697,ENB,1.4585,28.7379,0.93,0.0415,0.4869,0.577
698,TDC,0.2538,153.44,1.099,0.0606,1.2914,1.4153
702,MLHR,2.1485,15.3953,0.4138,0.1927,1.0435,1.5597
703,SPG,7.8781,21.3456,7.0693,0.7402,0.2967,0.4166
704,QRTEA,2.0382,13.3699,1.311,0.1629,0.6297,1.0595
706,TRP,4.0153,12.2947,1.7125,0.1262,0.2303,0.3966
707,FAST,1.3097,19.958,0.2171,0.3265,2.0153,5.2954
708,RH,0.1023,1122.5,-148.5165,-0.2972,0.095,1.2418
709,CBRE,3.119,12.7923,0.6275,0.2153,1.0123,1.1638
710,HGV,3.075,8.5961,1.8831,0.4838,2.3137,1.3694
711,AEG,0.3422,13.9514,1.058,0.0447,0.598,2.3772
712,BTI,2.4557,9.5096,0.7259,0.0922,0.4319,0.775
713,VIAB,4.2669,7.6019,1.3611,0.2321,1.1589,1.4988
714,NVS,5.4417,14.1343,0.4089,0.1604,0.834,1.2012
715,EWBC,4.8545,8.9568,0.1254,0.1591,0.1332,0.1287
716,QSR,2.4352,21.2602,7.4792,0.3799,0.9695,1.0653
720,SGH,5.3553,6.0867,1.1308,0.6384,0.908,1.765
723,CASA,0.882,15.092,3.947,0.9753,4.0933,4.6853
724,CXP,0.0804,241.875,0.483,0.0035,1.377,1.6718
725,AGNC,0.1946,83.5238,7.3861,0.0167,0.4742,0.2504
728,LDOS,3.8795,13.6104,0.9444,0.1756,1.0704,1.3788
730,MPW,2.7859,5.8051,0.8878,0.2236,5.2249,10.7015
732,CIM,1.9702,9.0457,5.9768,0.1111,0.0029,0.7862
734,ETH,1.3376,18.4586,0.0044,0.0948,0.2864,1.7683
737,AEE,3.3361,19.5299,1.1841,0.1068,0.3175,0.5705
738,HCC,13.2076,1.8279,0.6581,0.9778,2.905,3.7705
739,LAMR,3.0638,22.3883,2.5523,0.2697,0.5649,0.7992
741,EXEL,2.3081,8.4784,0.0095,0.536,8.2691,8.5048
743,ADI,4.0235,21.4876,0.562,0.1327,1.3847,2.0082
746,EYE,0.3065,90.871,0.7779,0.0318,0.3207,1.0144
747,CBS,5.2365,8.4077,3.6159,0.699,0.9541,1.4765
748,MBT,6.0642,7.7016,8.1781,0.1049,0.8029,0.9102
749,TMO,7.298,30.6142,0.6884,0.1065,1.015,1.7285
750,LBRDA,0.3857,184.1282,0.0493,0.0066,10.1407,10.3202
751,HCLP,1.5079,2.4521,0.5518,0.1704,1.3933,7.4314
752,OFC,0.6642,30.4783,1.148,0.0456,0.9999,1.9423
753,STT,6.3499,9.733,0.4393,0.0974,0.7351,0.4473
754,HLF,1.8998,27.8066,-3.392,-0.41,0.799,1.1361
755,WRK,7.4716,7.185,0.5593,0.1662,0.7943,1.4355
756,BR,3.6287,31.6694,0.9626,0.391,1.1307,1.2751
757,MCD,7.6848,23.3338,-4.9654,-0.9466,1.1123,1.3631
759,SSNC,0.4291,102.5227,1.8026,0.0225,0.9728,1.0657
761,CHTR,5.3731,53.8696,2.0071,0.0339,0.2065,0.2257
764,VLY,0.7504,11.84,0.4343,0.078,0.0226,0.0231
765,VOD,0.1047,22.3928,0.6124,0.0412,0.9802,0.8611
773,CRC,6.7537,2.517,-14.5457,-0.9086,0.5206,1.0544
774,ATUS,0.0263,550.6667,6.2144,0.0051,0.3785,0.4469
775,SIG,8.0375,6.3316,0.2929,0.2077,0.9688,3.3225
776,BDC,3.1252,13.4742,1.0548,0.116,1.2366,1.7557
778,XPO,3.0721,17.9937,1.1941,0.118,0.9351,1.1132
780,CRI,6.1521,13.4686,0.6824,0.3244,1.3082,3.1854
782,AGCO,3.647,15.3785,0.5066,0.0973,0.436,1.2786
783,TILE,0.8443,16.9643,1.7441,0.1417,1.1628,2.4996
784,MMC,3.2757,24.4632,0.7754,0.2197,1.0932,1.2051
785,GNW,0.2376,19.4167,0.3565,0.0096,3.7925,4.0103
786,CAKE,3.4376,14.7194,0.0163,0.2565,0.2347,0.5243
787,CAR,2.1333,10.8077,33.2923,0.3986,1.2826,1.2669
788,URI,13.5137,7.7323,3.452,0.3221,0.7505,0.8322
790,VRSN,4.8184,28.9064,-1.2884,-0.4204,1.3399,1.3899
791,MCO,6.8351,20.4737,12.3418,2.8476,1.4794,1.614
792,SLG,2.7244,29.618,0.9474,0.0419,2.6655,3.0839
793,XOG,0.5545,7.6607,0.8116,0.0656,0.9143,1.1547
795,BZUN,1.6235,42.2721,0.2442,0.1239,1.3243,1.8599
797,L,2.0242,22.8744,0.6143,0.0343,0.4665,0.4725
801,VNO,2.0224,30.7079,1.6309,0.1008,3.8662,4.2672
803,BCC,0.5263,45.0,0.6533,0.0304,1.1381,2.6655
806,PRTY,1.2684,7.7969,1.8575,0.1177,0.2894,1.4391
807,JACK,4.4531,19.4742,-1.8079,-0.2051,0.3273,0.5169
808,OGE,2.1304,18.3991,0.7857,0.1062,0.3814,0.641
809,QGEN,0.8403,41.0119,0.8251,0.0723,1.7952,2.2167
810,CPRT,1.799,31.8833,0.2529,0.2643,2.2583,2.5576
811,EAT,3.4387,18.0364,-2.1011,-0.3055,0.1487,0.3599
812,DXC,6.1291,13.9927,0.5939,0.1298,0.8195,0.9765
815,KBR,1.9946,7.6281,0.7379,0.1655,1.2431,1.3805
816,STM,1.4126,9.7063,0.3004,0.2024,1.8269,2.7613
817,AQUA,0.0539,355.0,2.6184,0.0171,1.184,1.9864
818,SBRA,1.5106,10.9139,0.9934,0.0859,2.1793,2.6682
820,FISV,2.9789,25.0819,2.5988,0.5177,0.7284,1.1065
821,SRE,3.3764,31.3594,1.3378,0.0613,0.3156,0.4845
822,SAVE,2.2816,25.4035,1.1347,0.0808,1.3842,1.6122
824,HTA,1.0315,24.3365,0.7506,0.0656,1.8685,1.6713
827,SQM,3.0796,22.9204,0.6492,0.2109,2.5729,4.3184
828,SXT,3.7223,15.0539,0.8252,0.183,1.3379,3.8326
829,OMC,5.9186,12.5197,1.9205,0.5207,0.7416,0.8989
830,CVA,1.1598,11.4701,5.1211,0.3121,0.8939,1.1264
831,LXP,0.9347,8.828,1.046,0.171,2.8342,3.5912
832,ONB,1.2526,12.5203,0.8231,0.071,0.0205,0.0298
833,FMC,3.7287,17.2435,0.8842,0.1609,0.7611,1.3464
834,KN,0.7505,17.7467,0.1305,0.0559,1.5078,2.574
835,KW,1.0403,17.4712,4.1285,0.1203,0.7556,0.7728
836,SCS,0.6949,21.5441,0.3627,0.0992,1.0517,1.5394
837,CXW,1.3415,13.306,1.2732,0.1125,0.9409,1.0195
838,DFS,8.0038,7.5519,2.4464,0.2416,0.1951,1.34
839,PH,7.9784,19.5602,0.8459,0.181,1.0411,1.5904
843,SCCO,1.996,15.385,0.9075,0.2349,1.6698,2.6145
844,HDS,5.2241,7.7485,1.4332,0.6617,1.8841,3.0193
846,NGHC,1.6322,14.9444,0.3039,0.0934,0.8813,0.9189
847,ATSG,1.1727,19.3305,3.2107,0.1588,0.9037,1.1313
848,REVG,0.2057,54.55,0.7939,0.0245,0.6683,2.0209
849,ALLE,4.5752,17.4039,2.2194,0.668,1.1818,1.7888
850,MHK,11.6134,10.144,0.4383,0.1159,0.5282,1.3806
851,SPWH,0.4167,11.6429,3.8823,0.3563,0.0134,1.8049
852,TWNK,0.4832,17.3651,1.1632,0.0741,1.7863,2.1222
853,BMCH,1.7775,8.6966,0.4124,0.1369,1.5165,2.8599
854,EQIX,4.5448,76.9782,1.5698,0.0506,0.819,1.0004
855,GRA,2.5019,26.0683,5.9937,0.5065,0.9516,1.6666
857,SUM,0.0217,41.3333,1.3661,0.0018,1.3874,2.2694
860,UNM,2.3927,12.3445,0.3452,0.0607,12.5577,13.7393
861,NJR,2.6444,17.0752,1.0262,0.1645,0.2776,1.0254
863,NNN,1.622,29.4,0.6863,0.0704,6.0487,8.4598
864,PAGP,2.0985,9.4811,4.9886,0.1809,0.7296,1.0226
867,CTAS,7.8952,23.4254,0.8405,0.2793,1.2158,2.5494
868,REGI,7.837,3.404,0.257,0.382,0.8554,1.5793
870,HAS,1.7425,46.4286,0.9717,0.1256,1.8601,2.4189
871,AOS,2.6137,16.4231,0.1289,0.2587,1.6456,2.0865
872,DGX,5.4089,15.449,0.7464,0.1411,0.7724,0.936
873,CUZ,0.7533,41.5789,0.3804,0.0286,0.9044,0.9506
877,FIS,2.5833,39.7481,0.8796,0.0828,0.839,1.1946
878,TRN,1.0889,18.8899,1.7509,0.0721,0.6061,1.5851
879,SPGI,7.8039,21.7872,5.8312,3.1178,1.2959,1.3709
880,BHF,7.2933,4.2099,0.3596,0.06,1.7821,2.1229
881,RYAAY,1.1908,16.1572,0.8868,0.3245,1.0952,1.2274
882,AN,4.4037,8.1881,0.9575,0.1458,0.1811,0.8632
884,ABR,1.4311,6.539,3.1413,0.1294,0.4852,5.4599
885,MCK,0.3247,436.9063,0.8038,0.0068,0.5556,1.0123
886,VC,5.6728,10.8417,0.871,0.3527,1.3218,1.7975
887,ROIC,0.3749,41.7895,1.2107,0.036,1.7656,2.0625
890,IEX,5.3523,23.556,0.4255,0.2058,2.1351,2.996
891,MXIM,1.6709,35.6145,0.7719,0.242,3.645,4.0261
892,INN,0.6775,14.3088,0.806,0.0764,1.2188,1.3662
894,OEC,2.045,10.7813,4.3095,0.7635,1.0377,1.796
895,ATH,5.2714,7.4588,0.1199,0.1272,0.343,4.0667
897,ABC,7.6651,12.1932,1.5898,0.5655,0.4954,0.9291
898,EFX,2.4864,37.4016,0.848,0.0965,0.8378,1.0913
899,DPZ,8.7024,28.6694,-1.1617,-0.1191,1.0073,1.493
901,TTM,22.5261,17.4983,1.1944,0.0716,0.584,0.9544
902,OHI,1.403,24.9291,1.3184,0.0817,2.1394,2.9572
903,SUI,1.2216,78.845,1.0056,0.0345,1.6265,2.0992
904,SIVB,18.2878,10.3499,0.136,0.1903,0.0732,0.084
905,MPLX,2.195,13.2314,1.0197,0.1034,0.3034,0.6349
906,EC,276.8069,9.3138,0.6903,0.2064,1.1547,1.5165
908,LPLA,5.068,12.2405,2.5265,0.4512,2.4514,2.7921
910,SIX,3.2693,16.9604,-3.2756,-0.4292,0.4361,0.6568
913,FORM,1.404,9.9225,0.1117,0.1793,2.4036,3.2952
914,BRKS,1.6503,20.8909,0.2731,0.1624,2.2427,3.4265
915,NVO,15.4512,18.8202,0.0099,0.7452,0.7094,1.0905
916,SWK,4.0064,29.4926,0.5358,0.0772,0.4739,1.1419
917,SNDR,1.5192,12.2829,0.1929,0.1261,2.5205,2.5341
921,HTHT,2.461,77.8836,1.5808,0.116,0.911,1.1684
922,EW,3.4547,44.3971,0.1891,0.23,1.7041,2.6088
923,SKT,0.4649,44.9333,3.5612,0.0909,0.1824,1.2964
924,ROK,4.3478,44.0304,1.0981,0.3311,0.9387,1.2655
925,PENN,0.7868,19.6146,13.0752,0.1279,0.7941,0.9177
927,ALL,6.1084,13.6579,0.2878,0.1057,0.3447,0.719
928,IONS,1.9898,25.866,0.6171,0.2612,7.4808,7.877
931,KRNY,0.1914,56.0417,1.4418,0.0154,0.0359,0.0292
932,SBAC,0.4187,394.8537,-2.9432,-0.0141,0.2576,0.3099
933,MFC,2.1936,8.1867,0.3965,0.0989,1.1476,4.9626
934,ZTS,2.9722,28.8986,2.9529,0.6535,2.2379,3.5969
935,BUD,2.5797,29.7783,1.7109,0.0677,0.4151,0.5305
936,AROC,0.1629,39.4211,1.8174,0.025,1.0189,1.6996
939,WB,2.5676,22.8242,0.5065,0.3276,3.4849,3.9202
940,KT,2633.9403,12.0162,0.5189,0.0492,1.0881,1.2942
941,TGNA,1.8842,5.7819,2.1958,0.3025,1.5769,1.7205
943,WM,4.5151,19.8196,1.5978,0.3068,0.8468,0.851
944,ASX,3.0002,3.7136,0.9841,0.1302,0.9209,1.2706
946,THRM,1.2009,34.1709,0.2916,0.0873,1.1772,2.5261
947,UMPQ,1.4359,11.0417,0.2813,0.078,0.0289,0.0445
948,ALB,6.5304,12.0422,0.4756,0.1934,1.0253,1.689
949,RHI,3.5751,15.8889,0.0006,0.4085,1.3069,1.7981
951,HLT,2.5761,28.3794,13.216,1.3866,0.6249,0.7583
952,DNOW,0.4796,24.766,0.1087,0.0428,1.356,2.7642
953,PIR,2.7897,21.8571,0.7202,0.0419,0.6643,2.3353
954,WPG,0.4276,11.5714,2.8757,0.0936,0.6225,0.8054
955,PNFP,4.6148,9.8927,0.4874,0.0906,0.0372,0.0459
956,DRH,0.4222,21.1163,0.512,0.0466,1.0819,1.1455
957,OC,4.9854,8.9028,0.785,0.1272,0.6823,1.5806
958,CUBE,0.8797,32.236,0.8978,0.0959,0.0312,0.1378
959,GLPI,1.5859,20.3208,2.5834,0.1499,0.1867,0.5051
960,CBOE,3.762,25.881,0.375,0.1316,1.0037,1.1473
961,RDNT,0.6598,15.1791,5.2859,0.2535,0.6676,0.8713
963,AL,4.9086,6.1906,2.175,0.1063,0.1315,0.1315
965,UIS,1.4797,7.8581,-0.4859,-0.0562,1.2274,1.4095
966,JELD,1.3993,10.2971,1.9404,0.1895,0.8769,1.7057
967,TDG,17.1183,22.85,-7.1205,-0.5292,3.0846,4.0619
968,LITE,3.8578,15.1804,0.3609,0.2679,4.2458,5.2673
969,STAY,0.5994,25.8333,3.0483,0.1436,1.4489,1.4484
970,RY,8.5347,11.3731,2.7398,0.1553,0.3531,0.5629
971,ROST,3.5661,21.4804,0.1302,0.4469,0.7157,1.6358
972,SYK,9.4952,16.5,0.8405,0.3029,1.2546,2.0248
973,REI,0.1487,33.8667,0.0854,0.0195,0.3195,0.3245
974,HR,0.5571,51.7091,0.7839,0.0406,0.0895,1.7675
975,TRV,9.525,12.7801,0.2649,0.1102,0.379,0.3886
976,CSL,10.2629,9.9623,0.6113,0.2353,2.5217,3.4532
978,ANET,4.3476,47.9954,0.0165,0.153,3.7723,4.4761
980,CSIQ,4.0527,3.5672,1.8461,0.1935,0.4901,1.0427
981,ICHR,2.5328,6.812,1.0128,0.2919,0.9586,2.411
982,WSM,3.0834,17.4719,0.2488,0.2156,0.4765,1.6237
983,EXP,5.273,18.5666,0.438,0.181,1.0581,2.5581
984,BWA,4.4687,7.7718,0.5002,0.2202,1.1367,1.5861
985,SWCH,0.0164,77.7778,4.2318,0.0283,1.3224,1.4438
986,APLE,0.9008,15.8444,0.4042,0.0605,0.2933,0.7597
987,ADS,17.6801,8.5467,5.7361,0.413,2.0019,2.1518
990,MTDR,2.3571,6.444,0.7685,0.1624,0.7997,0.9263
991,CARB,0.2188,105.25,0.46,0.0294,1.5196,1.5885
992,CAJ,234.0853,12.9693,0.1416,0.0894,1.1196,1.9911
993,CNI,5.8122,16.986,0.7125,0.2453,0.5509,0.7794
995,ILMN,5.619,53.2735,0.5314,0.2198,2.2317,2.4889
997,CAL,2.0289,13.7241,0.2752,0.1215,0.5037,1.9685
998,SPAR,0.4268,16.814,0.1371,0.0804,0.9721,1.7765
999,SAP,3.3236,25.3243,0.405,0.1416,1.5689,1.5857
1000,ESNT,4.7622,7.1208,0.0947,0.1976,0.7055,1.3112
1001,NMFC,0.9507,13.2421,0.5655,0.0719,1.6508,2.1357
1003,OI,1.6194,10.7081,5.9344,0.2856,0.4807,1.068
1004,MDU,1.3892,17.1511,0.8215,0.1061,0.7879,1.2009
1005,PSXP,4.1919,9.9787,1.2148,0.3173,0.3556,0.4778
1007,CWH,0.1184,40.9643,46.9398,0.2335,0.1718,1.4467
1008,DECK,3.6015,24.05,0.0341,0.1216,3.0326,4.8142
1009,COHR,10.1796,17.139,0.3239,0.1882,1.7881,3.3218
1010,SMFG,537.4598,8.7833,1.9592,0.0713,0.3856,0.4993
1011,FULT,1.1834,13.0084,0.3292,0.0927,0.0259,0.0352
1012,UNIT,0.0446,311.4,-3.0727,-0.0102,0.2055,0.1431
1013,LAZ,4.0621,8.3318,1.564,0.5749,2.2678,3.5764
1014,CASY,8.4693,11.4863,1.0594,0.2501,0.1944,0.7814
1015,PODD,0.0557,1322.0,2.791,0.0155,3.1612,3.9884
1016,NEXA,0.5615,21.25,0.5753,0.0302,1.9913,2.6048
1017,MATW,3.3452,14.4218,1.1062,0.1236,1.3025,2.1476
1018,PLNT,0.9015,53.0891,-3.1292,-0.235,2.8283,2.9569
1019,CAH,0.824,59.939,1.4875,0.0423,0.4177,1.0725
1020,AYI,8.7006,17.897,0.2078,0.2036,1.1235,1.774
1021,DVA,0.9602,55.3333,2.7278,0.043,0.5616,1.7223
