,Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
106,ITUB,2.5685,13.8527,2.3917,0.1821,0.3505,0.7729
107,BK,4.1435,11.5936,0.7778,0.105,0.5755,0.5086
108,APA,0.1054,238.6364,1.1562,0.0056,0.8669,1.2208
109,HOME,0.5263,60.717,0.804,0.0538,0.0248,0.8756
112,DAL,5.7393,8.7698,1.2075,0.2875,0.2088,0.3413
114,CCL,4.3465,13.5483,0.4223,0.129,0.1456,0.2417
115,PBR,0.5499,11.8273,1.1791,0.1003,1.708,1.4795
116,DISCA,1.1347,28.7674,2.0025,0.0708,0.9022,1.0585
117,LPI,1.3879,2.5857,0.8377,0.2764,0.6957,0.9615
118,ABT,1.3483,53.9776,0.6369,0.0771,1.0284,1.6236
119,FITB,3.2306,7.5659,0.8876,0.135,0.023,0.0628
121,USB,4.1978,11.012,0.6518,0.1391,0.0595,0.0711
122,BA,18.4192,17.867,40.8466,30.8555,0.3107,1.0765
123,GGB,1.3397,10.8077,0.5793,0.0895,0.7704,2.0582
124,JBLU,0.6168,26.7667,0.5552,0.0401,0.4582,0.5497
126,EBAY,2.6277,10.8798,1.4697,0.4028,1.2634,1.5999
127,HBAN,1.2463,9.7705,0.8286,0.1255,0.0317,0.0442
130,WBA,5.0624,13.5227,0.5536,0.1932,0.3396,0.8236
132,KNX,2.4021,10.5781,0.1701,0.0768,1.2171,1.4762
133,KBH,1.9275,10.9378,0.9673,0.0816,0.5434,2.7964
134,PGR,4.4481,13.5573,0.407,0.2417,0.4934,0.5034
135,MO,3.7056,13.3848,1.7411,0.4709,0.0696,0.2028
136,MDT,2.2901,35.4978,0.5078,0.0612,1.7071,2.2789
138,BCS,0.083,15.8005,1.9349,0.0223,0.3166,0.78
139,CDEV,0.7236,14.5,0.225,0.0645,0.4861,0.5256
140,DNR,0.7007,2.28,2.4255,0.2826,0.7796,0.8122
141,EOG,5.8959,14.7066,0.3142,0.1766,0.9309,1.3565
142,HPE,1.2965,12.2,0.5716,0.0898,1.3314,1.0043
143,TXN,5.8092,16.5499,0.5635,0.6204,2.1989,3.2728
145,OKE,2.7971,19.2679,1.43,0.175,0.3941,0.6634
148,GDDY,0.4443,131.24,3.0413,0.0973,0.5183,0.7567
149,BX,2.328,13.1322,1.5601,0.2417,1.7807,1.2857
152,OXY,5.4713,11.3667,0.4837,0.1937,1.1769,1.34
154,SYF,3.8818,6.2394,1.2271,0.1901,0.1383,0.1527
155,MTG,1.8532,5.7158,0.115,0.1871,0.3215,0.4442
156,LUV,4.3837,10.8093,0.3427,0.2502,0.5385,0.6361
158,AA,1.2172,21.7869,0.3208,0.0404,0.7249,1.4827
159,ABEV,0.7018,21.6934,0.043,0.1957,0.6588,1.0202
160,EQR,1.7763,37.0843,0.8161,0.0646,0.0874,0.0889
162,ETSY,0.6433,74.3281,0.8542,0.1933,5.9159,6.0706
163,TAL,1.2057,100.1592,0.1457,0.1224,1.3309,1.4664
164,UNH,12.459,20.0096,0.7071,0.2319,0.6692,0.7272
165,ECA,1.1223,5.2072,0.5637,0.1435,0.9162,1.3274
167,AMZN,20.6005,72.6291,0.7611,0.2313,0.847,1.0981
168,NFLX,2.7775,96.2806,1.9776,0.2312,0.5849,1.4943
169,ENTG,1.7035,16.3158,0.9277,0.2379,2.6111,3.8171
170,CSX,3.9187,16.0959,1.1731,0.263,1.1076,1.3394
171,WYNN,5.2643,18.419,4.6325,0.2814,1.3262,1.4034
172,CNC,2.1913,24.9567,0.6124,0.0824,0.9368,1.0023
173,ZION,4.4228,9.344,0.0955,0.1167,0.031,0.0492
176,CI,10.828,17.7661,1.0353,0.0643,0.686,0.6405
178,SYNH,0.2353,171.087,0.99,0.0085,0.9398,0.9925
179,HBI,1.5332,8.2434,4.1025,0.57,0.6422,1.7326
180,BBT,3.9747,10.9394,0.7856,0.1073,0.0233,0.0354
182,CELG,5.7862,11.3434,3.2901,0.6567,1.9985,2.2349
183,D,3.7354,19.107,1.7494,0.1217,0.3362,0.6749
184,CHS,0.7903,11.8608,0.1045,0.1539,0.8246,1.9273
185,CFG,3.6161,8.3983,0.6933,0.0813,0.0356,0.0479
186,SU,2.0067,18.6008,0.3943,0.0748,0.5264,0.8439
187,MMM,9.1862,20.9615,1.4927,0.546,1.1393,1.8925
188,BIIB,21.9905,13.9122,0.4553,0.3398,1.8279,2.3188
189,JBL,0.5125,59.12,1.2915,0.0443,0.4081,1.0441
190,ACN,6.0175,26.1718,0.0024,0.3917,1.2373,1.3382
191,NTR,5.8715,8.2168,0.3776,0.1463,0.6786,1.3992
193,SBUX,3.3491,16.9969,8.0719,3.8634,1.6943,2.1981
194,PE,1.1653,11.75,0.3918,0.0663,0.5225,0.8332
195,LVS,3.0796,16.9544,2.1086,0.4245,1.7064,1.7631
197,GSK,0.6744,20.4266,5.978,0.831,0.4616,0.7526
199,PAA,2.7662,7.2347,0.7673,0.1846,0.7292,1.0223
200,VLO,7.3579,10.2699,0.4204,0.1441,0.963,1.6482
201,IMAX,0.365,52.25,0.0996,0.0446,2.0471,2.2316
202,FNB,1.1255,8.708,0.1361,0.0809,0.0177,0.0213
204,HD,7.3903,27.9563,18.5887,5.9354,0.3425,1.1691
205,BIDU,791.9582,13.9367,0.3984,0.1693,2.6832,2.728
207,ARNC,1.3285,12.6767,1.1358,0.1152,1.0724,1.8696
208,VOYA,5.6264,7.4888,0.382,0.1065,4.8831,6.5741
209,MLCO,0.2378,24.2366,2.0443,0.1652,0.8573,0.919
210,SM,4.5336,3.4097,0.8891,0.1741,0.9025,0.9211
211,NTRS,6.8204,12.5135,0.3236,0.1481,2.9374,0.3778
212,DHI,3.8728,10.8814,0.285,0.1625,0.5204,4.1721
213,UAL,7.8139,10.8318,1.9704,0.212,0.3961,0.5126
214,HRB,2.9309,9.4369,3.7988,1.5574,2.146,2.2423
215,BTU,-0.8559,7.0069,0.4026,0.0013,1.3531,1.8475
216,JBGS,0.3302,112.2903,0.6588,0.0134,2.9811,3.4841
217,IPG,1.6102,12.8137,1.5603,0.2586,0.9479,1.0073
218,DE,7.3627,17.7875,2.5315,0.2098,1.517,0.8378
220,COG,1.2919,17.88,0.5872,0.2668,1.4703,1.8956
221,IBM,9.6039,11.8777,2.7276,0.5196,1.3585,1.2856
222,NYT,0.7617,29.3289,0.2436,0.1208,1.2407,1.3284
223,AAL,3.0657,10.5625,-201.355,-8.355,0.3658,0.4773
224,OLN,1.9654,10.2081,1.1406,0.1158,0.8541,1.5268
225,JCI,2.3375,15.0342,0.5164,0.1022,0.5162,1.0509
226,VICI,1.4143,13.1329,0.6079,0.0768,5.9062,50.1986
229,EPD,1.9116,12.8743,1.0975,0.1749,0.5898,0.8456
230,KMB,4.0716,28.1333,-25.9756,-4.9129,0.4136,0.7713
231,AEP,3.9014,19.1641,1.3273,0.1011,0.2925,0.4757
232,IT,1.3473,94.6963,2.6819,0.1439,0.5385,0.6913
233,CAT,10.4168,12.23,2.5961,0.4366,1.4089,1.368
234,AU,0.3243,39.2188,0.773,0.0502,0.8537,1.5473
235,MYL,0.6836,39.7101,1.1394,0.029,0.7126,1.388
237,KKR,1.3189,9.1729,2.5829,0.1308,1.4029,1.8417
238,CMC,1.1837,18.1513,0.7757,0.0927,2.5316,3.8329
240,TMUS,3.4041,18.7088,1.1145,0.1168,0.6884,0.8066
241,NRG,0.9244,45.0,-6.0762,-0.2172,0.9875,1.5013
242,CPB,0.8681,47.0575,6.9765,0.1913,0.1703,0.6388
244,WRB,3.4978,14.6082,0.5117,0.1178,0.3364,0.3736
245,MOMO,7.0673,1.716,0.4462,0.2576,4.4551,4.6854
246,TGT,5.3608,13.3026,1.1434,0.2501,0.2025,0.9608
247,TV,0.0176,119.1288,1.4633,0.0671,1.222,1.4847
248,GLW,1.3318,25.3866,0.4349,0.0773,1.2972,2.1244
249,MAS,2.4026,12.2857,-26.8378,-6.6126,0.9626,1.6425
250,DOV,3.8971,18.6711,1.1428,0.206,0.8909,1.3701
251,HRL,1.8985,22.3455,0.1116,0.1807,0.9303,1.8
252,S,1.8458,2.6216,1.5515,0.2804,1.1736,1.3197
253,TECK,5.4197,5.3751,0.2412,0.1358,1.1582,2.1133
254,AES,1.8164,7.9451,6.0147,0.375,0.7829,1.14
255,PPL,2.5368,10.9382,1.8898,0.1567,0.3901,0.533
256,SEE,1.2305,28.7934,-9.9662,-0.5539,0.5552,1.0445
258,STX,4.1176,13.7732,2.8943,0.7099,0.952,1.3511
259,ADBE,5.3075,47.517,0.4406,0.2767,1.0566,1.1292
260,K,3.8499,14.8078,3.4191,0.5136,0.3745,0.6971
261,RTN,10.2222,15.0935,0.497,0.2536,0.6211,1.4341
262,M,5.1417,4.575,1.024,0.2726,0.351,1.4763
264,CY,0.9797,12.8485,0.4165,0.1676,0.983,1.6385
265,TSM,14.0031,16.1348,0.0877,0.2187,2.3625,2.667
266,STL,1.9573,8.4235,1.1676,0.101,0.0174,0.0853
267,NYCB,0.7945,11.9114,2.1349,0.0635,0.0417,0.042
268,TRQ,0.2043,8.25,0.4492,0.0441,6.61,6.5991
270,BAH,2.0797,18.478,3.2331,0.5363,1.3809,1.4503
271,ARI,1.4392,10.9605,0.6742,0.0877,0.9586,44.4827
272,MET,5.0484,8.2949,0.3107,0.0971,0.7983,1.1094
273,AFL,3.8356,12.0211,0.2463,0.1245,0.3954,0.5532
274,TPR,1.3811,33.3597,0.4933,0.1225,1.6671,2.5928
275,WPM,0.9647,20.3438,0.2444,0.0826,2.7101,2.7636
276,LNT,2.1705,19.2922,1.2962,0.1139,0.2258,0.4775
277,BTG,0.0295,97.3333,0.2986,0.018,0.5568,1.7517
278,UTX,6.5782,16.1824,1.1844,0.137,0.6511,1.1318
279,WLL,3.7639,6.0186,0.6539,0.0802,0.7011,0.742
280,LKQ,1.5088,15.4091,0.9013,0.1004,0.879,2.6746
282,CRZO,4.1045,2.5659,1.6654,0.4123,0.4407,0.467
285,CLR,2.6284,15.109,0.9387,0.1608,0.9447,1.0179
286,FCAU,1.8512,5.3991,0.5965,0.1461,0.4677,0.8239
291,CAG,2.0543,18.68,1.038,0.2199,0.2985,0.8299
292,STLD,5.4819,5.5836,0.604,0.3198,2.0613,3.9569
293,PEP,8.866,12.4977,2.2263,0.862,0.819,0.9889
294,SO,2.1635,20.1468,1.6133,0.0772,0.3738,0.6708
295,COST,7.1464,32.8224,0.5139,0.2449,0.4481,1.0182
297,CCI,1.3451,80.4667,1.3862,0.0558,1.6055,0.8673
299,GS,26.5072,6.5433,3.0546,0.116,0.6874,1.8896
300,ZAYO,0.414,86.7143,3.885,0.0686,0.7983,1.0344
302,ALTR,0.195,137.9,0.1081,0.0467,1.0386,1.2107
303,EMR,3.5054,22.3103,0.532,0.2462,0.6677,1.0738
304,CNP,0.6644,38.1486,1.2118,0.0457,1.9197,2.1275
305,ALXN,0.3478,278.1714,0.3499,0.0085,2.1176,2.8833
307,MA,5.673,33.508,1.1741,1.086,1.0122,1.3949
308,AWI,3.7505,16.1247,3.6274,0.8226,0.7381,1.3059
309,ADP,4.2788,31.5093,0.4228,0.398,0.1374,1.0464
311,AER,6.6385,5.6571,2.9776,0.115,0.2176,0.6318
312,GTN,2.3752,6.1674,2.1474,0.1776,10.6867,5.82
315,AMT,2.7855,56.6989,3.9654,0.2317,0.3761,0.5086
317,SJM,11.7835,9.676,0.6123,0.1696,0.5593,1.5042
318,ETN,4.9492,13.927,0.4669,0.1332,0.8339,1.4726
319,DUK,3.7398,22.9521,1.3223,0.0608,0.0933,0.6458
320,CL,2.7671,21.5652,-62.4118,-23.5294,0.6363,1.1353
322,KAR,2.4369,7.4025,1.8217,0.224,1.0515,1.2626
323,NEE,13.8886,12.3892,1.1045,0.1944,0.2054,0.364
324,PXD,5.7373,23.0333,0.1886,0.0808,1.2398,1.4191
325,WPX,0.3402,32.4286,0.5778,0.0351,0.814,1.0336
326,ADM,3.2284,12.7632,0.4416,0.0953,0.7424,1.7483
327,VTR,1.1487,50.9478,1.0293,0.0401,0.1655,0.5554
328,VMW,1.6347,75.7531,0.491,0.0764,2.8231,2.8765
330,DKS,3.0115,9.8907,0.0336,0.1666,0.1132,1.4078
332,WTI,1.7881,2.3953,-1.9506,-0.7661,0.8041,1.2143
333,LRCX,14.5123,11.6096,0.3717,0.3662,2.3435,2.9044
334,NXPI,6.3815,10.8083,0.7,0.2102,1.0579,1.5436
335,CE,9.0238,10.0078,1.1833,0.4045,1.0051,1.6155
336,HUN,1.4141,13.5845,0.9206,0.1337,0.9665,1.8361
337,CSTM,1.4125,4.3438,-18.3607,-1.5574,0.7419,1.2651
339,GPK,0.7124,14.9859,1.8722,0.14,0.5488,1.5046
340,WELL,2.0185,34.1921,0.8336,0.055,0.6381,0.6381
341,TJX,2.0623,18.5512,0.4333,0.5066,0.7008,1.6556
342,PLD,2.6106,20.2483,0.4851,0.074,0.3704,1.4402
343,KSS,5.1129,11.8949,0.833,0.1585,0.4828,1.986
344,XEC,8.2827,7.4099,0.456,0.2378,1.9567,2.0095
345,DRI,4.8146,18.3119,0.4221,0.2716,0.1666,0.3999
347,ATI,1.7695,12.2303,0.8178,0.1179,1.0871,2.6846
349,VFC,2.7262,40.9829,0.7995,0.2174,0.6658,1.4919
350,BDN,0.7612,16.9342,1.1274,0.0758,1.2264,1.5352
351,HON,9.1383,14.5187,0.8919,0.3721,0.9733,1.2874
353,GOOGL,44.1948,23.6309,0.0225,0.173,3.7544,3.9284
354,ICE,3.4903,21.7717,0.4326,0.1156,0.0427,1.0088
356,WY,0.9984,22.0808,0.7347,0.0827,0.4765,0.8262
357,BLL,1.3385,34.8333,1.9459,0.1313,0.6161,0.9621
359,AMGN,13.1729,15.3283,2.7143,0.6715,2.438,2.789
360,FSLR,1.377,30.7681,0.0896,0.0277,4.1101,4.565
361,IVZ,2.1462,7.8224,0.89,0.1029,1.7272,11.8042
362,DG,5.667,17.6312,0.4907,0.2512,0.0902,1.4327
363,SID,3.657,2.2997,3.3124,0.5831,0.4565,1.0503
364,SLM,1.083,7.6944,1.4411,0.164,0.1416,1.3858
366,SGU,1.0337,11.0112,0.3253,0.1792,0.5207,0.9066
367,ODP,0.1901,13.5789,0.7239,0.0489,1.0915,1.2279
368,PK,2.3458,11.1983,0.5234,0.0838,1.2703,1.4505
370,TOL,5.0769,6.8415,0.6567,0.1572,0.7509,4.094
371,PDCO,2.1237,10.7281,0.6941,0.1375,1.1284,1.9515
374,CME,5.7571,32.8307,1.6921,0.0757,1.0044,1.0149
376,PPBI,1.9743,11.1441,0.1381,0.0626,0.0231,0.0273
378,ETFC,3.9962,11.2513,0.2068,0.1603,1.3422,1.4283
379,AIV,4.3502,10.1083,2.299,0.392,0.2911,0.787
380,EXC,2.0786,21.6827,1.1874,0.0653,0.7246,1.1715
381,TAP,5.633,10.8627,0.7765,0.0827,0.4485,0.6432
382,UNP,8.0973,17.3874,1.0964,0.2921,0.6675,0.8999
383,BDX,0.5943,426.4194,1.0239,0.0148,0.495,1.027
384,GME,0.3425,46.0294,0.3693,0.0157,0.5142,1.5633
385,PEGI,1.4476,12.8414,2.1805,0.1356,0.3912,0.4414
387,RLJ,0.9334,17.6344,0.5566,0.055,0.7652,0.8827
388,LB,3.4825,13.2919,-7.6946,-1.3054,0.8986,1.6214
389,TIF,2.978,35.9091,0.3104,0.1145,2.1004,5.4957
390,DLPH,4.0456,3.5446,5.2432,1.226,0.8991,1.4023
391,NCLH,4.3077,9.9042,1.0887,0.1601,0.0695,0.1747
394,LMT,17.741,14.7599,10.1176,3.6198,0.2234,1.1184
395,MTZ,3.3002,12.2909,1.0122,0.1868,1.6971,1.6898
396,WEN,1.9918,8.0881,4.2973,0.7096,2.2817,2.3451
397,GPS,2.1807,14.1481,0.3973,0.2697,0.7245,1.8562
398,SYY,2.7463,24.8029,3.3217,0.5707,0.7021,1.2147
399,WDR,2.3441,7.9298,0.1074,0.2078,3.1891,3.2695
400,FTV,8.6204,8.1224,0.5201,0.4418,1.0828,1.4466
401,BKI,1.1278,39.5263,0.7482,0.0943,0.8318,1.1134
402,CTSH,3.6285,17.5845,0.0652,0.1839,2.7973,3.1246
405,CTXS,4.2717,24.2222,3.4401,1.0438,0.6495,0.7169
406,AMTD,2.5949,20.1423,0.3196,0.1841,1.4506,1.0989
407,CPE,1.2877,4.8074,0.4865,0.1228,0.4692,0.7069
408,CF,1.2565,34.808,1.5882,0.098,1.3007,1.8071
409,PNC,10.9682,10.835,0.784,0.1111,0.0615,0.0821
410,SABR,1.226,17.5935,3.5219,0.349,0.999,1.1662
411,WIT,12.3536,26.828,0.2885,0.1658,2.1105,2.3707
412,LYB,12.2192,6.907,0.9152,0.4572,0.8699,1.9166
413,DISH,3.3679,7.4095,1.7628,0.1832,0.5671,0.6887
415,MGA,6.4076,6.8346,0.4096,0.2146,0.7019,1.1485
417,BP,0.4408,13.4516,0.6617,0.0944,0.7229,1.045
418,XEL,2.454,19.9474,1.4267,0.1032,0.4146,0.6937
420,VVV,0.8703,24.7619,-3.6927,-0.4637,1.2287,1.764
422,ARCC,2.0127,7.7512,0.7142,0.1175,0.4588,0.5985
423,UPS,5.5759,17.6365,7.526,1.5859,0.9933,1.1507
424,MUR,2.3755,9.8277,0.644,0.0851,0.6993,1.0399
425,VMC,3.9062,25.3333,0.5598,0.0991,0.9712,1.791
426,NOMD,1.0357,14.9969,0.8565,0.0831,0.6001,1.1152
427,ANTM,14.4988,18.075,0.6731,0.1314,1.4314,1.5625
429,GD,11.295,13.8756,1.0584,0.2851,0.7665,1.2341
430,KIM,1.0432,14.3627,0.9114,0.0933,1.0752,1.1315
431,FNF,2.2818,13.6696,0.1806,0.1356,1.7304,2.0612
432,BXMT,2.3822,12.744,3.1803,0.0847,0.9021,112.0819
433,CHD,2.3092,28.3448,0.8587,0.2317,0.4991,0.8129
434,DLR,1.2116,88.0579,1.108,0.0336,0.3096,0.6667
435,IP,4.9676,8.22,2.3026,0.2733,0.8756,1.4904
436,CLI,0.9313,24.4875,1.8778,0.0566,0.2087,0.5013
438,CC,5.8158,5.0214,3.9172,0.9813,1.2066,1.9269
439,DAN,2.9517,4.6361,1.3257,0.3175,1.0155,1.664
442,LPX,2.795,8.0507,0.2071,0.2321,3.8397,4.9122
443,BBY,3.4208,20.4264,0.3751,0.2769,0.535,1.2574
444,GRUB,0.8653,87.2841,0.237,0.0544,1.5064,1.6301
445,BG,1.6515,32.3879,0.8702,0.0433,0.2825,1.5432
447,PWR,2.0088,15.6771,0.3069,0.0814,1.3473,1.8416
450,NTCT,0.9146,28.5714,0.29,0.0386,1.5998,1.8205
451,NYMT,0.5607,9.5,9.5889,0.0872,0.0979,5.7981
452,NEM,0.6402,54.1406,0.4057,0.0325,2.0699,2.953
453,BEN,1.4503,21.9353,0.1109,0.0772,6.523,11.3784
454,SHLX,1.4731,10.94,-7.5035,-1.6457,5.0755,5.3585
455,NAVI,1.5312,5.7961,26.5754,0.1122,0.8486,16.6102
456,PBH,6.4023,5.1563,1.6909,0.2881,1.4077,2.4633
457,SBH,2.1479,8.5694,-6.6068,-0.9609,0.3416,2.3517
459,LLY,3.051,36.8535,1.0478,0.3288,1.1092,1.7286
461,TTWO,1.5169,61.0955,0.0054,0.1165,1.2215,1.3951
462,KLAC,5.1469,20.2339,1.3807,0.4951,2.9087,3.7463
463,LADR,1.618,8.3622,2.7668,0.1246,0.2072,7.5981
464,FHN,1.6634,7.9277,0.2599,0.1214,0.1253,0.1429
465,HSIC,3.5154,17.5454,0.6551,0.181,0.3808,1.2971
466,CXO,11.4157,7.7402,0.2319,0.1218,0.9698,1.0391
467,HLX,0.193,28.4737,0.2722,0.0177,2.0854,2.3549
468,RSG,3.1947,22.7413,1.0518,0.1308,0.4315,0.5754
469,BIG,4.5163,12.5847,0.3217,0.2835,0.0868,1.7333
471,PAYC,2.3384,51.6667,0.1027,0.4095,0.0478,1.0349
472,GCP,0.2106,116.9048,0.7441,0.0317,1.8908,2.462
473,YUM,4.9375,19.15,-1.2708,-0.1945,0.6556,0.9277
474,STZ,11.8299,18.0167,1.2773,0.2888,0.4248,1.7033
475,LYG,0.0538,9.1691,2.5372,0.0775,0.181,0.3221
476,MEOH,6.7922,6.8133,0.9955,0.3765,0.7358,1.1955
477,GIII,1.2657,29.4094,0.3489,0.0554,0.9799,2.7641
478,USFD,1.8729,16.8298,1.1192,0.126,0.75,1.435
479,SFM,1.2424,19.1138,0.9845,0.2691,0.136,1.0769
480,THC,1.0829,15.7248,-124.5882,-0.9328,0.7794,1.202
481,DOC,0.3011,53.4333,0.6337,0.0236,0.3074,1.6396
