Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
CMCSA,2.5785,13.3008,1.5556,0.1638,0.5404,0.7915
KMI,0.671,23.303,1.1083,0.0478,0.6323,0.7572
INTC,4.6128,10.2691,0.3535,0.2824,1.105,1.7314
MU,12.1873,4.2999,0.1436,0.4377,2.1342,2.7875
GE,-2.6729,0.0,3.1345,-0.7216,1.4026,1.7227
BAC,2.7201,9.3333,1.0075,0.1061,0.4108,0.4122
AAPL,12.3254,18.9226,1.0699,0.5556,0.9945,1.1293
MSFT,2.1568,46.5163,0.989,0.2003,2.7399,2.9066
SIRI,0.2647,21.9615,-3.7909,-0.6472,0.1024,0.1705
HPQ,3.3664,7.3152,-9.3693,-8.3365,0.409,0.851
CX,0.2309,42.959,1.1011,0.0555,0.46,0.7461
CZR,0.4524,15.4318,5.8591,0.0932,1.06,1.1325
F,0.9244,8.2258,4.2996,0.1023,1.6223,1.2033
AMD,0.3372,54.2941,0.9874,0.2662,1.2051,1.7843
SNAP,-0.9699,0.0,0.0,-0.5434,5.5828,5.7259
FB,7.694,17.1359,0.0,0.2628,6.9404,7.194
WFC,4.3951,10.6914,0.9684,0.1142,0.118,0.2803
AIG,-0.0068,0.0,0.6128,-0.0001,0.2233,0.6168
T,2.6614,10.014,0.9579,0.1052,0.4917,0.7983
C,7.389,7.7818,1.2826,0.092,0.4333,0.5137
VALE,1.3199,9.9924,0.4497,0.156,0.9732,1.6784
MS,4.7798,8.2432,2.5875,0.109,0.392,1.7589
AKS,0.5895,3.8136,19.957,1.8619,0.6064,1.9505
JPM,9.2346,10.7987,1.0988,0.1197,0.3215,0.5619
ORCL,0.8787,53.7011,1.3072,0.0774,3.7857,3.9824
NKE,1.1993,60.3361,0.3883,0.197,1.4475,2.5056
PG,3.8774,20.8347,0.5916,0.1844,0.5856,0.8259
GSM,0.2539,6.36,0.7291,0.0568,0.7848,1.7684
BBD,2.2711,13.551,2.1537,0.1334,0.2965,0.4083
PFE,1.9294,22.9737,0.6583,0.1759,0.8431,1.5671
JD,-0.8479,0.0,0.2412,-0.0417,0.4871,0.8676
NOK,-0.0949,0.0,0.3083,-0.0362,0.8488,1.2951
TWTR,1.5837,17.9625,0.3998,0.1771,4.6152,4.6897
AVGO,29.6507,7.5039,0.6562,0.4599,3.2579,3.8952
AMAT,3.3703,9.5168,0.7756,0.484,1.6198,2.7037
ZNGA,0.0179,196.5,0.0626,0.0097,1.4752,1.5574
XOM,4.9223,13.9734,0.1969,0.1087,0.4855,0.8396
QCOM,-3.3789,0.0,20.285,-6.1512,1.3164,1.5264
VIPS,16.2222,11.7243,0.3846,0.1233,0.8463,1.0532
CSCO,0.0234,2108.5,0.5918,0.0025,2.2908,2.2873
AXP,8.1017,12.0202,2.1134,0.3105,1.1677,1.8175
BMY,3.0143,17.2691,0.5238,0.3507,1.3937,1.6107
V,5.0638,34.0384,0.489,0.3029,1.4144,1.6113
GRPN,-0.0194,0.0,0.529,-0.0291,0.9513,1.0433
GERN,-0.145,0.0,0.0,-0.152,21.8151,21.9915
KEY,1.7399,8.5434,0.8805,0.1197,0.0062,0.0529
RF,1.6395,8.6323,0.8233,0.1123,0.0525,0.0482
KR,2.1637,13.4929,2.2492,0.2751,0.1397,0.7831
HAL,1.8903,14.0635,1.083,0.1739,1.5081,2.3222
BABA,3.1621,44.799,0.3432,0.1752,1.5478,1.8913
MRO,1.3185,11.0308,0.4534,0.0904,1.387,1.5944
GILD,4.2169,14.8929,1.2775,0.2551,3.151,3.3792
GM,5.6086,5.9626,2.7007,0.2062,1.0371,0.9156
FCX,1.7957,5.7598,1.1371,0.2656,1.5158,3.2202
CRM,0.4984,227.82,0.1658,0.0347,0.8386,0.952
ATVI,2.376,19.5672,0.2345,0.1591,1.9909,2.3111
SQ,-0.093,0.0,0.9359,-0.0343,1.5991,2.0735
NUE,7.52,6.9637,0.4382,0.2411,1.3913,3.0775
SWN,0.9204,3.6667,0.9814,0.2273,1.078,1.13
LOW,4.1542,24.8166,2.8938,0.5869,0.057,1.0559
RAD,17.6761,2.1691,2.1184,0.5893,0.6687,1.367
VEON,0.0808,7.0909,2.1406,0.0387,0.5609,0.7015
SLB,1.5439,23.4286,0.4439,0.0591,0.7903,1.1665
FLEX,0.8121,19.7407,0.9742,0.142,0.549,1.2617
FOXA,3.524,10.7955,0.0,0.228,2.4633,3.1723
ABBV,3.7807,25.1199,-4.7727,-0.6733,0.7799,0.9829
GIS,3.7375,11.5122,2.5759,0.347,0.2837,0.5617
VZ,3.758,14.9521,2.1298,0.2922,0.7342,0.9132
XRX,1.515,14.1143,1.045,0.0721,1.7939,1.4442
CVLT,-1.3773,0.0,0.0,-0.1532,1.9266,1.9952
X,6.2899,2.8906,0.5666,0.2653,0.9922,1.5108
MAT,-1.5451,0.0,4.3482,-0.812,1.2417,1.8628
CTL,-1.6037,0.0,1.8187,-0.0874,0.5272,0.6907
MIK,2.1545,12.0853,-1.8063,-0.2587,0.472,1.7506
DVN,6.5442,3.671,0.4849,0.3336,1.4686,1.9933
IBN,13.241,22.1771,2.0618,0.0697,0.1423,0.1737
MPC,4.024,11.0093,0.7825,0.079,0.5705,1.3637
PM,5.089,13.1417,-2.5491,-0.635,0.5908,1.1309
MSCI,5.7693,25.2882,-15.469,-3.0505,1.7028,1.7739
RDN,2.8407,5.7809,0.3818,0.1737,0.3835,0.9362
KO,1.5116,31.3576,2.6037,0.3789,0.6879,0.8662
SRC,1.4201,25.1786,0.7359,0.0471,0.056,0.7708
COP,5.435,11.6325,0.4686,0.1959,1.5811,1.795
CHK,0.8482,2.4706,3.6912,0.4173,0.4333,0.5535
DIS,8.4707,13.8381,0.428,0.2583,0.755,0.942
LEN,5.1344,7.826,0.6077,0.1163,0.3923,5.1498
CVX,7.7581,13.9296,0.2223,0.0959,1.0061,1.2521
PYPL,1.7456,48.3276,0.1299,0.1337,1.2359,1.2725
AUY,-0.3,0.0,0.475,-0.0713,0.2623,0.8646
WMT,3.3291,32.4012,0.597,0.1266,0.1575,0.7598
CLF,3.7853,2.0237,4.9338,2.6594,2.4378,3.1602
MRK,2.392,32.6538,0.9406,0.233,0.7176,1.1652
MDLZ,2.3256,17.4043,0.7166,0.1319,0.2453,0.4543
MGM,0.8854,29.5854,2.345,0.0717,0.7406,0.8569
GFI,-0.4238,0.0,0.8088,-0.1346,1.6463,1.4965
KGC,-0.0205,0.0,0.385,-0.0057,0.7562,2.6092
SCHW,2.4651,16.8138,0.3324,0.1697,0.2895,0.3192
NBR,-1.8258,0.0,1.3279,-0.2373,1.488,1.9152
SRCI,1.0718,4.3925,0.4629,0.1639,0.537,0.6569
JAG,0.7761,11.6923,0.5524,0.1745,1.0613,1.07
NVDA,5.0281,48.4971,0.2677,0.4078,7.2619,8.0269
JNJ,5.7464,22.6404,0.5101,0.256,1.0818,1.474
WDC,2.2557,34.1013,0.9689,0.0585,1.6162,2.3873
BSX,1.2075,29.2066,0.8086,0.1915,0.3335,0.761
STI,5.9383,8.7116,0.6208,0.1143,0.0505,0.0952
ON,1.4905,11.1554,0.8721,0.1978,1.1949,2.156
ITUB,2.5685,13.8527,2.3917,0.1821,0.3505,0.7729
BK,4.1435,11.5936,0.7778,0.105,0.5755,0.5086
APA,0.1054,238.6364,1.1562,0.0056,0.8669,1.2208
HOME,0.5263,60.717,0.804,0.0538,0.0248,0.8756
NGD,-2.1183,0.0,0.8136,-1.2777,1.0665,2.2185
KOS,-0.2168,0.0,2.2524,-0.0998,0.8967,1.3263
DAL,5.7393,8.7698,1.2075,0.2875,0.2088,0.3413
INFY,0.5412,15.9545,0.0,0.2496,3.0929,3.5457
CCL,4.3465,13.5483,0.4223,0.129,0.1456,0.2417
PBR,0.5499,11.8273,1.1791,0.1003,1.708,1.4795
DISCA,1.1347,28.7674,2.0025,0.0708,0.9022,1.0585
LPI,1.3879,2.5857,0.8377,0.2764,0.6957,0.9615
ABT,1.3483,53.9776,0.6369,0.0771,1.0284,1.6236
FITB,3.2306,7.5659,0.8876,0.135,0.023,0.0628
PTEN,-1.4784,0.0,0.3193,-0.0917,1.5273,1.8054
USB,4.1978,11.012,0.6518,0.1391,0.0595,0.0711
BA,18.4192,17.867,40.8466,30.8555,0.3107,1.0765
GGB,1.3397,10.8077,0.5793,0.0895,0.7704,2.0582
JBLU,0.6168,26.7667,0.5552,0.0401,0.4582,0.5497
QEP,-4.2725,0.0,0.9167,-0.3677,0.312,0.8394
EBAY,2.6277,10.8798,1.4697,0.4028,1.2634,1.5999
HBAN,1.2463,9.7705,0.8286,0.1255,0.0317,0.0442
DB,0.1292,0.0,3.1462,0.0043,0.2458,0.7124
MRVL,1.0603,20.3333,0.0,0.1258,5.0379,5.6132
WBA,5.0624,13.5227,0.5536,0.1932,0.3396,0.8236
CDNA,-1.2019,0.0,0.0,-0.4874,3.8232,4.1588
KNX,2.4021,10.5781,0.1701,0.0768,1.2171,1.4762
KBH,1.9275,10.9378,0.9673,0.0816,0.5434,2.7964
PGR,4.4481,13.5573,0.407,0.2417,0.4934,0.5034
MO,3.7056,13.3848,1.7411,0.4709,0.0696,0.2028
MDT,2.2901,35.4978,0.5078,0.0612,1.7071,2.2789
RIG,-4.3212,0.0,0.7613,-0.1523,2.2737,2.7078
BCS,0.083,15.8005,1.9349,0.0223,0.3166,0.78
CDEV,0.7236,14.5,0.225,0.0645,0.4861,0.5256
DNR,0.7007,2.28,2.4255,0.2826,0.7796,0.8122
EOG,5.8959,14.7066,0.3142,0.1766,0.9309,1.3565
HPE,1.2965,12.2,0.5716,0.0898,1.3314,1.0043
TXN,5.8092,16.5499,0.5635,0.6204,2.1989,3.2728
OAS,-0.1108,0.0,0.7324,-0.0095,0.8332,0.9058
OKE,2.7971,19.2679,1.43,0.175,0.3941,0.6634
CVS,-0.583,0.0,1.2611,-0.0102,0.5502,1.028
HES,-1.1072,0.0,0.6929,-0.0293,1.6773,2.0241
GDDY,0.4443,131.24,3.0413,0.0973,0.5183,0.7567
BX,2.328,13.1322,1.5601,0.2417,1.7807,1.2857
NLSN,-2.0057,0.0,2.9459,-0.2501,0.9909,1.2088
BOX,-1.1382,0.0,5.7338,-10.3528,0.9406,1.0133
OXY,5.4713,11.3667,0.4837,0.1937,1.1769,1.34
CVE,-2.1721,0.0,0.5246,-0.1528,0.7765,1.2288
SYF,3.8818,6.2394,1.2271,0.1901,0.1383,0.1527
MTG,1.8532,5.7158,0.115,0.1871,0.3215,0.4442
LUV,4.3837,10.8093,0.3427,0.2502,0.5385,0.6361
FTI,-4.2454,0.0,0.4047,-0.1855,0.8764,1.2891
AA,1.2172,21.7869,0.3208,0.0404,0.7249,1.4827
ABEV,0.7018,21.6934,0.043,0.1957,0.6588,1.0202
EQR,1.7763,37.0843,0.8161,0.0646,0.0874,0.0889
MDR,-14.9016,0.0,4.3712,-3.3588,0.4776,0.7192
ETSY,0.6433,74.3281,0.8542,0.1933,5.9159,6.0706
TAL,1.2057,100.1592,0.1457,0.1224,1.3309,1.4664
UNH,12.459,20.0096,0.7071,0.2319,0.6692,0.7272
ECA,1.1223,5.2072,0.5637,0.1435,0.9162,1.3274
GES,-0.0959,0.0,0.0459,-0.0086,1.3416,2.3698
AMZN,20.6005,72.6291,0.7611,0.2313,0.847,1.0981
NFLX,2.7775,96.2806,1.9776,0.2312,0.5849,1.4943
ENTG,1.7035,16.3158,0.9277,0.2379,2.6111,3.8171
CSX,3.9187,16.0959,1.1731,0.263,1.1076,1.3394
WYNN,5.2643,18.419,4.6325,0.2814,1.3262,1.4034
CNC,2.1913,24.9567,0.6124,0.0824,0.9368,1.0023
ZION,4.4228,9.344,0.0955,0.1167,0.031,0.0492
CLDR,-2.6175,0.0,0.0,-0.8634,1.8757,2.0151
RES,0.8166,12.0366,0.0,0.1846,3.0704,4.3211
CI,10.828,17.7661,1.0353,0.0643,0.686,0.6405
WMB,-0.1289,0.0,1.5289,-0.0106,0.6405,0.8084
SYNH,0.2353,171.087,0.99,0.0085,0.9398,0.9925
HBI,1.5332,8.2434,4.1025,0.57,0.6422,1.7326
BBT,3.9747,10.9394,0.7856,0.1073,0.0233,0.0354
PAYX,2.767,23.6751,0.0,0.4218,0.1731,1.1127
CELG,5.7862,11.3434,3.2901,0.6567,1.9985,2.2349
D,3.7354,19.107,1.7494,0.1217,0.3362,0.6749
CHS,0.7903,11.8608,0.1045,0.1539,0.8246,1.9273
CFG,3.6161,8.3983,0.6933,0.0813,0.0356,0.0479
SU,2.0067,18.6008,0.3943,0.0748,0.5264,0.8439
MMM,9.1862,20.9615,1.4927,0.546,1.1393,1.8925
BIIB,21.9905,13.9122,0.4553,0.3398,1.8279,2.3188
JBL,0.5125,59.12,1.2915,0.0443,0.4081,1.0441
ACN,6.0175,26.1718,0.0024,0.3917,1.2373,1.3382
NTR,5.8715,8.2168,0.3776,0.1463,0.6786,1.3992
BRFS,-2.6032,0.0,3.3098,-0.3037,0.5356,1.3135
SBUX,3.3491,16.9969,8.0719,3.8634,1.6943,2.1981
PE,1.1653,11.75,0.3918,0.0663,0.5225,0.8332
LVS,3.0796,16.9544,2.1086,0.4245,1.7064,1.7631
EGO,-2.6489,0.0,0.1815,-0.1156,2.7541,3.6323
GSK,0.6744,20.4266,5.978,0.831,0.4616,0.7526
TEVA,-2.3549,0.0,1.9661,-0.1462,0.5309,0.9631
PAA,2.7662,7.2347,0.7673,0.1846,0.7292,1.0223
VLO,7.3579,10.2699,0.4204,0.1441,0.963,1.6482
IMAX,0.365,52.25,0.0996,0.0446,2.0471,2.2316
FNB,1.1255,8.708,0.1361,0.0809,0.0177,0.0213
ADSK,-2.5737,0.0,-6.1953,2.2145,0.8296,0.8845
HD,7.3903,27.9563,18.5887,5.9354,0.3425,1.1691
BIDU,791.9582,13.9367,0.3984,0.1693,2.6832,2.728
AR,-1.2535,0.0,0.7129,-0.0519,0.9035,0.945
ARNC,1.3285,12.6767,1.1358,0.1152,1.0724,1.8696
VOYA,5.6264,7.4888,0.382,0.1065,4.8831,6.5741
MLCO,0.2378,24.2366,2.0443,0.1652,0.8573,0.919
SM,4.5336,3.4097,0.8891,0.1741,0.9025,0.9211
NTRS,6.8204,12.5135,0.3236,0.1481,2.9374,0.3778
DHI,3.8728,10.8814,0.285,0.1625,0.5204,4.1721
UAL,7.8139,10.8318,1.9704,0.212,0.3961,0.5126
HRB,2.9309,9.4369,3.7988,1.5574,2.146,2.2423
BTU,-0.8559,7.0069,0.4026,0.0013,1.3531,1.8475
JBGS,0.3302,112.2903,0.6588,0.0134,2.9811,3.4841
IPG,1.6102,12.8137,1.5603,0.2586,0.9479,1.0073
DE,7.3627,17.7875,2.5315,0.2098,1.517,0.8378
KHC,-8.358,0.0,0.6034,-0.1973,0.4344,1.2095
COG,1.2919,17.88,0.5872,0.2668,1.4703,1.8956
IBM,9.6039,11.8777,2.7276,0.5196,1.3585,1.2856
NYT,0.7617,29.3289,0.2436,0.1208,1.2407,1.3284
AAL,3.0657,10.5625,-201.355,-8.355,0.3658,0.4773
OLN,1.9654,10.2081,1.1406,0.1158,0.8541,1.5268
JCI,2.3375,15.0342,0.5164,0.1022,0.5162,1.0509
VICI,1.4143,13.1329,0.6079,0.0768,5.9062,50.1986
VST,-0.107,0.0,1.4503,-0.0069,0.491,0.9476
NWL,-14.8198,0.0,1.3443,-1.3257,0.7475,1.9872
EPD,1.9116,12.8743,1.0975,0.1749,0.5898,0.8456
KMB,4.0716,28.1333,-25.9756,-4.9129,0.4136,0.7713
AEP,3.9014,19.1641,1.3273,0.1011,0.2925,0.4757
IT,1.3473,94.6963,2.6819,0.1439,0.5385,0.6913
CAT,10.4168,12.23,2.5961,0.4366,1.4089,1.368
AU,0.3243,39.2188,0.773,0.0502,0.8537,1.5473
MYL,0.6836,39.7101,1.1394,0.029,0.7126,1.388
XRAY,-3.9607,0.0,0.3236,-0.1974,0.9982,1.8632
KKR,1.3189,9.1729,2.5829,0.1308,1.4029,1.8417
CMC,1.1837,18.1513,0.7757,0.0927,2.5316,3.8329
JCP,-0.3787,0.0,3.06,-0.0853,0.1933,1.4567
TMUS,3.4041,18.7088,1.1145,0.1168,0.6884,0.8066
NRG,0.9244,45.0,-6.0762,-0.2172,0.9875,1.5013
CPB,0.8681,47.0575,6.9765,0.1913,0.1703,0.6388
ATHM,24.5091,22.1546,0.0,0.2584,3.0958,3.1554
WRB,3.4978,14.6082,0.5117,0.1178,0.3364,0.3736
MOMO,7.0673,1.716,0.4462,0.2576,4.4551,4.6854
TGT,5.3608,13.3026,1.1434,0.2501,0.2025,0.9608
TV,0.0176,119.1288,1.4633,0.0671,1.222,1.4847
GLW,1.3318,25.3866,0.4349,0.0773,1.2972,2.1244
MAS,2.4026,12.2857,-26.8378,-6.6126,0.9626,1.6425
DOV,3.8971,18.6711,1.1428,0.206,0.8909,1.3701
HRL,1.8985,22.3455,0.1116,0.1807,0.9303,1.8
S,1.8458,2.6216,1.5515,0.2804,1.1736,1.3197
TECK,5.4197,5.3751,0.2412,0.1358,1.1582,2.1133
AES,1.8164,7.9451,6.0147,0.375,0.7829,1.14
PPL,2.5368,10.9382,1.8898,0.1567,0.3901,0.533
SEE,1.2305,28.7934,-9.9662,-0.5539,0.5552,1.0445
NLY,-0.1554,0.0,6.2791,0.0039,0.0087,0.1377
STX,4.1176,13.7732,2.8943,0.7099,0.952,1.3511
ADBE,5.3075,47.517,0.4406,0.2767,1.0566,1.1292
K,3.8499,14.8078,3.4191,0.5136,0.3745,0.6971
RTN,10.2222,15.0935,0.497,0.2536,0.6211,1.4341
M,5.1417,4.575,1.024,0.2726,0.351,1.4763
TSLA,-5.6838,0.0,2.4319,-0.1983,0.4831,0.8313
CY,0.9797,12.8485,0.4165,0.1676,0.983,1.6385
TSM,14.0031,16.1348,0.0877,0.2187,2.3625,2.667
STL,1.9573,8.4235,1.1676,0.101,0.0174,0.0853
NYCB,0.7945,11.9114,2.1349,0.0635,0.0417,0.042
TRQ,0.2043,8.25,0.4492,0.0441,6.61,6.5991
NBL,-0.1376,0.0,0.6974,-0.007,0.7717,1.0139
BAH,2.0797,18.478,3.2331,0.5363,1.3809,1.4503
ARI,1.4392,10.9605,0.6742,0.0877,0.9586,44.4827
MET,5.0484,8.2949,0.3107,0.0971,0.7983,1.1094
AFL,3.8356,12.0211,0.2463,0.1245,0.3954,0.5532
TPR,1.3811,33.3597,0.4933,0.1225,1.6671,2.5928
WPM,0.9647,20.3438,0.2444,0.0826,2.7101,2.7636
LNT,2.1705,19.2922,1.2962,0.1139,0.2258,0.4775
BTG,0.0295,97.3333,0.2986,0.018,0.5568,1.7517
UTX,6.5782,16.1824,1.1844,0.137,0.6511,1.1318
WLL,3.7639,6.0186,0.6539,0.0802,0.7011,0.742
LKQ,1.5088,15.4091,0.9013,0.1004,0.879,2.6746
PCG,-13.2087,0.0,1.7385,-0.5415,0.1517,0.2205
CRZO,4.1045,2.5659,1.6654,0.4123,0.4407,0.467
CENX,-0.7554,0.0,0.367,-0.0869,0.646,2.259
PGNX,-0.8003,0.0,0.4412,-0.6694,6.0347,6.1473
CLR,2.6284,15.109,0.9387,0.1608,0.9447,1.0179
FCAU,1.8512,5.3991,0.5965,0.1461,0.4677,0.8239
IMGN,-1.1325,0.0,0.1881,-15.3885,3.8752,3.9454
HL,-0.0565,0.0,0.3229,-0.0157,0.2865,1.2053
LULU,2.0594,42.0842,0.0,0.162,3.4507,4.9087
UAA,-0.1033,0.0,0.3614,-0.023,0.9194,1.9709
CAG,2.0543,18.68,1.038,0.2199,0.2985,0.8299
STLD,5.4819,5.5836,0.604,0.3198,2.0613,3.9569
PEP,8.866,12.4977,2.2263,0.862,0.819,0.9889
SO,2.1635,20.1468,1.6133,0.0772,0.3738,0.6708
COST,7.1464,32.8224,0.5139,0.2449,0.4481,1.0182
GKOS,-0.3595,0.0,0.0,-0.0745,5.5306,5.8148
CCI,1.3451,80.4667,1.3862,0.0558,1.6055,0.8673
ZTO,6.0736,18.7626,0.0,0.1281,3.8281,4.13
GS,26.5072,6.5433,3.0546,0.116,0.6874,1.8896
ZAYO,0.414,86.7143,3.885,0.0686,0.7983,1.0344
ADT,-0.8051,0.0,2.3675,-0.1442,0.6014,0.8435
ALTR,0.195,137.9,0.1081,0.0467,1.0386,1.2107
EMR,3.5054,22.3103,0.532,0.2462,0.6677,1.0738
CNP,0.6644,38.1486,1.2118,0.0457,1.9197,2.1275
ALXN,0.3478,278.1714,0.3499,0.0085,2.1176,2.8833
COTY,-0.2249,0.0,0.8502,-0.0191,0.4694,0.9028
MA,5.673,33.508,1.1741,1.086,1.0122,1.3949
AWI,3.7505,16.1247,3.6274,0.8226,0.7381,1.3059
ADP,4.2788,31.5093,0.4228,0.398,0.1374,1.0464
MNST,1.7958,27.6517,0.0,0.275,2.4,3.0012
AER,6.6385,5.6571,2.9776,0.115,0.2176,0.6318
GTN,2.3752,6.1674,2.1474,0.1776,10.6867,5.82
CDE,-0.2431,0.0,0.5382,-0.0568,1.0909,1.8449
NCR,-1.1591,0.0,8.0127,-0.2228,0.7975,1.3247
AMT,2.7855,56.6989,3.9654,0.2317,0.3761,0.5086
PSTG,-0.7375,0.0,0.0,-0.2783,2.3576,2.6013
SJM,11.7835,9.676,0.6123,0.1696,0.5593,1.5042
ETN,4.9492,13.927,0.4669,0.1332,0.8339,1.4726
DUK,3.7398,22.9521,1.3223,0.0608,0.0933,0.6458
CL,2.7671,21.5652,-62.4118,-23.5294,0.6363,1.1353
IDRA,-2.203,0.0,0.0,-0.9357,7.9209,8.0735
KAR,2.4369,7.4025,1.8217,0.224,1.0515,1.2626
NEE,13.8886,12.3892,1.1045,0.1944,0.2054,0.364
PXD,5.7373,23.0333,0.1886,0.0808,1.2398,1.4191
WPX,0.3402,32.4286,0.5778,0.0351,0.814,1.0336
ADM,3.2284,12.7632,0.4416,0.0953,0.7424,1.7483
VTR,1.1487,50.9478,1.0293,0.0401,0.1655,0.5554
VMW,1.6347,75.7531,0.491,0.0764,2.8231,2.8765
RIGL,-0.4229,0.0,0.0,-0.6414,4.7816,4.9393
DKS,3.0115,9.8907,0.0336,0.1666,0.1132,1.4078
FG,-0.0722,0.0,0.6079,0.0146,0.9751,1.2562
WTI,1.7881,2.3953,-1.9506,-0.7661,0.8041,1.2143
LRCX,14.5123,11.6096,0.3717,0.3662,2.3435,2.9044
NXPI,6.3815,10.8083,0.7,0.2102,1.0579,1.5436
CE,9.0238,10.0078,1.1833,0.4045,1.0051,1.6155
HUN,1.4141,13.5845,0.9206,0.1337,0.9665,1.8361
CSTM,1.4125,4.3438,-18.3607,-1.5574,0.7419,1.2651
VER,-0.182,0.0,0.7225,-0.0126,0.1615,1.1242
GPK,0.7124,14.9859,1.8722,0.14,0.5488,1.5046
WELL,2.0185,34.1921,0.8336,0.055,0.6381,0.6381
TJX,2.0623,18.5512,0.4333,0.5066,0.7008,1.6556
PLD,2.6106,20.2483,0.4851,0.074,0.3704,1.4402
KSS,5.1129,11.8949,0.833,0.1585,0.4828,1.986
XEC,8.2827,7.4099,0.456,0.2378,1.9567,2.0095
DRI,4.8146,18.3119,0.4221,0.2716,0.1666,0.3999
ENDP,-4.5977,0.0,-16.5738,2.07,0.9872,1.2016
ATI,1.7695,12.2303,0.8178,0.1179,1.0871,2.6846
IAG,-0.0423,0.0,0.1458,-0.0072,3.5748,4.7839
VFC,2.7262,40.9829,0.7995,0.2174,0.6658,1.4919
BDN,0.7612,16.9342,1.1274,0.0758,1.2264,1.5352
HON,9.1383,14.5187,0.8919,0.3721,0.9733,1.2874
YNDX,145.836,12.9547,0.0,0.2643,3.5122,3.8935
GOOGL,44.1948,23.6309,0.0225,0.173,3.7544,3.9284
ICE,3.4903,21.7717,0.4326,0.1156,0.0427,1.0088
OMER,-2.5864,0.0,-0.0246,1.2656,2.2303,2.4057
WY,0.9984,22.0808,0.7347,0.0827,0.4765,0.8262
BLL,1.3385,34.8333,1.9459,0.1313,0.6161,0.9621
CGNX,1.2734,30.4488,0.0,0.1931,7.2577,8.5415
AMGN,13.1729,15.3283,2.7143,0.6715,2.438,2.789
FSLR,1.377,30.7681,0.0896,0.0277,4.1101,4.565
IVZ,2.1462,7.8224,0.89,0.1029,1.7272,11.8042
DG,5.667,17.6312,0.4907,0.2512,0.0902,1.4327
SID,3.657,2.2997,3.3124,0.5831,0.4565,1.0503
SLM,1.083,7.6944,1.4411,0.164,0.1416,1.3858
SLCA,-2.5907,0.0,1.2057,-0.1922,1.5994,2.2968
SGU,1.0337,11.0112,0.3253,0.1792,0.5207,0.9066
ODP,0.1901,13.5789,0.7239,0.0489,1.0915,1.2279
PK,2.3458,11.1983,0.5234,0.0838,1.2703,1.4505
TLGT,-0.6742,0.0,8.359,-1.9682,0.8806,1.4837
TOL,5.0769,6.8415,0.6567,0.1572,0.7509,4.094
PDCO,2.1237,10.7281,0.6941,0.1375,1.1284,1.9515
Z,-0.5897,0.0,0.2598,-0.0367,5.8046,6.5833
BCO,-0.6579,0.0,10.1106,-0.2167,1.2703,1.4204
CME,5.7571,32.8307,1.6921,0.0757,1.0044,1.0149
BKD,-2.8137,0.0,4.4309,-0.5185,0.7745,1.0009
PPBI,1.9743,11.1441,0.1381,0.0626,0.0231,0.0273
JMEI,0.7821,15.2373,0.0,0.0319,1.7321,2.4388
ETFC,3.9962,11.2513,0.2068,0.1603,1.3422,1.4283
AIV,4.3502,10.1083,2.299,0.392,0.2911,0.787
EXC,2.0786,21.6827,1.1874,0.0653,0.7246,1.1715
TAP,5.633,10.8627,0.7765,0.0827,0.4485,0.6432
UNP,8.0973,17.3874,1.0964,0.2921,0.6675,0.8999
BDX,0.5943,426.4194,1.0239,0.0148,0.495,1.027
GME,0.3425,46.0294,0.3693,0.0157,0.5142,1.5633
PEGI,1.4476,12.8414,2.1805,0.1356,0.3912,0.4414
MX,-0.1126,0.0,-17.5377,0.2253,1.9171,2.659
RLJ,0.9334,17.6344,0.5566,0.055,0.7652,0.8827
LB,3.4825,13.2919,-7.6946,-1.3054,0.8986,1.6214
TIF,2.978,35.9091,0.3104,0.1145,2.1004,5.4957
DLPH,4.0456,3.5446,5.2432,1.226,0.8991,1.4023
NCLH,4.3077,9.9042,1.0887,0.1601,0.0695,0.1747
NOV,-0.0809,0.0,0.1962,-0.0022,1.507,3.1094
CNDT,-1.9688,0.0,0.4863,-0.1291,1.2849,1.6408
LMT,17.741,14.7599,10.1176,3.6198,0.2234,1.1184
MTZ,3.3002,12.2909,1.0122,0.1868,1.6971,1.6898
WEN,1.9918,8.0881,4.2973,0.7096,2.2817,2.3451
GPS,2.1807,14.1481,0.3973,0.2697,0.7245,1.8562
SYY,2.7463,24.8029,3.3217,0.5707,0.7021,1.2147
WDR,2.3441,7.9298,0.1074,0.2078,3.1891,3.2695
FTV,8.6204,8.1224,0.5201,0.4418,1.0828,1.4466
BKI,1.1278,39.5263,0.7482,0.0943,0.8318,1.1134
CTSH,3.6285,17.5845,0.0652,0.1839,2.7973,3.1246
HOLX,-0.409,0.0,1.3698,-0.0458,0.8883,1.2286
EIX,-1.2983,0.0,1.1864,-0.0262,0.2691,0.6461
CTXS,4.2717,24.2222,3.4401,1.0438,0.6495,0.7169
AMTD,2.5949,20.1423,0.3196,0.1841,1.4506,1.0989
CPE,1.2877,4.8074,0.4865,0.1228,0.4692,0.7069
CF,1.2565,34.808,1.5882,0.098,1.3007,1.8071
PNC,10.9682,10.835,0.784,0.1111,0.0615,0.0821
SABR,1.226,17.5935,3.5219,0.349,0.999,1.1662
WIT,12.3536,26.828,0.2885,0.1658,2.1105,2.3707
LYB,12.2192,6.907,0.9152,0.4572,0.8699,1.9166
DISH,3.3679,7.4095,1.7628,0.1832,0.5671,0.6887
